tenure,MonthlyCharges,Number_of_InternetServices,Churn
1,29.85,1,0
34,56.95,2,0
2,53.85,2,1
45,42.3,3,0
2,70.7,0,1
8,99.65,3,1
22,89.1,2,0
10,29.75,1,0
28,104.8,4,1
62,56.15,2,0
13,49.95,1,0
16,18.95,0,0
58,100.35,3,0
49,103.7,4,1
25,105.5,5,0
69,113.25,6,0
52,20.65,0,0
71,106.7,4,0
10,55.2,2,1
21,90.05,3,0
1,39.65,2,1
12,19.8,0,0
1,20.15,0,1
58,59.9,2,0
49,59.6,3,0
30,55.3,2,0
47,99.35,3,1
1,30.2,1,1
72,90.25,6,0
17,64.7,2,1
71,96.35,4,0
2,95.5,3,0
27,66.15,4,0
1,20.2,0,0
1,45.25,0,0
72,99.9,4,0
5,69.7,0,1
46,74.8,1,0
34,106.35,4,1
11,97.85,3,1
10,49.55,1,0
70,69.2,3,0
17,20.75,0,0
63,79.85,5,0
13,76.2,4,0
49,84.5,1,0
2,49.25,1,0
2,80.65,1,1
52,79.75,4,0
69,64.15,3,0
43,90.25,2,0
15,99.1,4,1
25,69.5,3,0
8,80.65,1,1
60,74.85,5,0
18,95.45,2,1
63,99.65,3,0
66,108.45,5,0
34,24.95,0,0
72,107.5,4,0
47,100.5,3,0
60,89.9,2,0
72,42.1,3,0
18,54.4,2,0
9,94.4,2,1
3,75.3,4,0
47,78.9,1,0
31,79.2,5,0
50,20.15,0,0
10,79.85,2,0
1,49.05,1,0
52,20.4,0,0
64,111.6,5,0
62,24.25,0,0
3,64.5,3,0
56,110.5,5,0
46,55.65,1,0
8,54.65,2,0
30,74.75,4,0
45,25.9,0,0
1,79.35,1,1
11,50.55,3,0
7,75.15,1,1
42,103.8,5,0
49,20.15,0,0
9,99.3,3,0
35,62.15,2,0
48,20.65,0,0
46,19.95,0,0
29,33.75,1,0
30,82.05,2,0
1,74.7,1,0
66,84.0,5,0
65,111.05,5,0
72,100.9,4,0
12,78.95,1,1
71,66.85,3,0
5,21.05,0,1
52,21.0,0,0
25,98.5,4,1
1,20.2,0,0
1,19.45,0,0
38,95.0,3,0
66,45.55,3,0
68,110.0,5,1
5,24.3,0,0
72,104.15,4,0
32,30.15,1,0
43,94.35,2,0
72,19.4,0,0
55,96.75,3,1
52,57.95,3,0
43,91.65,3,0
37,76.5,0,1
64,54.6,4,0
3,89.85,3,0
36,31.05,1,0
10,100.25,3,1
41,20.65,0,0
27,85.2,2,0
56,99.8,3,0
6,20.7,0,0
3,74.4,0,1
7,50.7,1,0
4,20.85,0,0
33,88.95,3,0
27,78.05,1,1
72,23.55,0,0
1,19.75,0,0
71,56.45,4,0
13,85.95,1,0
25,58.6,5,1
67,50.55,1,0
1,35.45,1,1
2,44.35,0,1
43,25.7,0,0
23,75.0,1,0
64,20.2,0,0
57,19.6,0,0
1,70.45,0,1
72,88.05,6,0
8,71.15,3,1
61,101.05,3,0
64,84.3,2,0
71,23.95,0,0
65,99.05,4,0
3,19.6,0,0
1,45.65,0,1
30,64.5,3,0
15,69.5,4,0
8,68.55,3,0
7,95.0,2,1
70,108.15,5,0
62,86.1,6,0
6,19.7,0,0
14,80.9,1,0
22,84.15,1,0
22,20.15,0,0
16,64.25,3,0
10,25.7,0,0
13,56.0,2,0
20,82.4,1,1
2,69.7,0,0
53,73.9,4,0
11,20.6,0,0
69,19.9,0,0
4,70.9,0,1
72,89.05,6,0
58,45.3,3,1
16,20.4,0,0
43,84.25,3,0
2,104.4,4,1
14,81.95,5,0
53,94.85,3,1
32,20.55,0,0
34,24.7,0,0
15,74.45,0,1
7,76.45,1,1
15,105.35,4,0
61,20.55,0,0
1,29.95,1,1
1,45.3,0,0
8,84.5,1,1
33,74.75,4,0
13,79.25,2,1
1,24.8,0,1
20,51.8,1,0
3,30.4,1,0
13,19.65,0,0
40,56.6,1,0
43,71.9,3,0
6,91.0,3,1
69,19.75,0,0
72,109.7,5,0
59,19.3,0,0
20,96.55,4,0
24,24.1,0,0
59,111.35,5,0
72,112.25,5,0
1,20.75,0,0
27,101.9,4,0
14,80.05,2,0
71,105.55,4,0
13,78.3,1,0
44,68.85,0,0
33,79.95,2,0
72,55.45,5,0
1,79.9,1,1
19,106.6,5,1
64,102.45,5,0
2,46.0,0,1
1,25.25,0,0
61,19.75,0,0
29,20.0,0,0
23,86.8,1,0
57,58.75,5,0
72,45.25,4,0
66,56.6,5,0
65,84.2,5,0
8,80.0,1,0
4,70.15,0,1
71,24.75,0,0
1,20.2,0,0
4,50.05,1,1
12,19.35,0,0
24,50.6,3,0
31,81.15,5,0
1,55.2,1,1
30,89.9,2,0
47,85.3,5,0
54,108.0,5,0
50,93.5,4,0
1,84.6,2,1
72,20.25,0,0
29,25.15,0,0
2,54.4,1,1
10,29.6,1,0
18,73.15,0,0
11,95.0,3,1
16,19.75,0,0
72,86.6,5,0
72,109.2,5,0
41,74.7,4,0
65,94.4,4,0
13,54.8,2,0
4,75.35,1,0
41,65.0,2,0
15,74.4,1,1
1,48.55,1,1
42,99.0,4,0
51,93.5,4,0
2,70.4,0,1
1,40.2,2,1
32,83.7,5,0
10,19.85,0,0
67,59.55,5,0
61,115.1,6,0
50,114.35,6,0
2,44.6,0,1
29,45.0,3,0
3,41.15,2,1
13,106.9,4,1
57,89.85,2,0
31,49.85,4,0
45,113.3,6,0
61,88.1,6,0
50,24.9,0,0
19,105.0,5,0
59,19.35,0,1
71,24.25,0,0
16,94.45,3,1
57,59.75,3,0
1,24.8,0,1
20,107.05,4,0
1,70.6,0,1
5,85.4,2,1
52,105.05,4,1
21,64.95,3,0
14,55.0,4,0
5,50.55,1,0
6,55.15,2,0
10,51.2,1,0
1,25.4,0,0
68,54.45,1,0
18,95.15,3,1
22,76.0,0,0
20,44.35,0,0
1,70.0,0,1
8,74.5,1,1
10,44.85,0,1
24,76.1,0,1
35,61.2,3,0
23,86.8,3,0
6,89.35,2,0
12,19.7,0,0
1,20.25,0,0
71,76.05,1,0
35,100.8,3,0
40,74.55,3,0
1,73.6,1,1
23,64.9,2,0
4,95.45,2,1
4,90.4,3,0
68,60.3,5,0
38,81.85,1,0
52,24.8,0,0
32,74.9,0,1
29,75.55,4,0
38,101.15,3,0
48,78.75,4,0
1,19.25,0,0
22,89.05,3,0
43,115.05,6,0
5,69.35,0,0
5,80.6,1,1
51,110.05,5,0
71,19.9,0,0
38,80.3,5,1
24,93.15,3,1
35,91.5,2,0
54,82.45,5,1
72,60.0,5,0
1,44.8,0,0
9,48.6,1,0
69,60.05,5,0
52,102.7,4,0
11,82.9,2,0
2,70.35,0,1
28,35.9,1,0
17,82.65,1,0
35,19.85,0,0
8,19.2,0,0
46,94.9,3,0
7,73.85,0,1
2,80.6,1,1
68,75.8,4,1
43,104.6,4,1
68,88.15,6,0
36,94.8,3,0
63,103.4,4,1
32,54.65,2,0
71,85.75,6,0
66,67.45,3,0
63,20.5,0,0
41,20.25,0,0
1,72.1,0,0
2,90.4,2,1
70,19.45,0,0
23,44.95,2,0
64,97.0,4,0
37,62.8,3,0
17,44.6,0,0
7,89.15,2,0
4,84.8,2,1
21,41.9,2,1
10,80.25,1,1
16,54.1,1,0
64,105.25,4,0
27,30.75,1,1
42,97.1,3,0
5,20.2,0,0
41,98.8,4,0
58,50.3,1,0
47,20.55,0,0
18,75.9,1,0
5,96.5,3,1
23,59.95,2,0
1,19.15,0,0
71,98.65,3,0
72,112.6,6,0
33,20.6,0,0
2,85.65,1,1
24,35.75,2,0
56,99.75,4,0
37,96.1,3,0
43,85.1,5,0
1,25.35,0,0
25,104.95,4,1
61,89.65,6,0
17,86.75,2,0
41,86.2,3,0
1,50.65,1,1
72,64.8,6,0
1,90.85,2,1
48,108.1,4,0
11,19.95,0,1
55,85.45,2,1
42,54.75,5,0
44,90.4,2,0
1,44.0,0,0
27,95.6,2,0
27,84.8,5,0
2,44.3,0,0
19,19.9,0,0
42,95.05,2,0
66,90.05,6,0
33,109.9,5,0
34,73.95,1,1
33,54.6,4,0
23,20.05,0,0
32,19.75,0,0
11,20.05,0,0
69,99.45,3,1
68,55.9,2,0
20,19.7,0,0
72,19.8,0,0
60,95.4,3,0
32,93.95,3,0
1,19.9,0,1
1,19.6,0,1
3,81.35,1,1
46,24.45,0,0
29,74.95,0,0
51,87.35,3,0
48,70.65,0,0
16,73.25,1,0
70,98.7,4,0
40,24.8,0,0
22,83.3,2,1
1,75.3,1,1
5,24.3,0,0
7,69.85,0,0
29,100.55,4,0
